,Description,ASIN,Product Description,Manufacturer
161,"  COMFORT WITH QUALITY This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men and women    PREMIUM FABRIC Premium Polyester Stylish and durable backpack for school /college and travel. Easily accommodate a laptop.    PROUDLY MADE IN INDIA PLAYY BAGS is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.   ",B099N8JRVJ,"Product Description Laptop Backpack COMFORT WITH QUALITY: This casual bag has Wide, Padded, and Adjustable shoulder straps and a Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet lightweight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, and school bag and is suitable for all, i.e. boys, girls, men, and womenPREMIUM FABRIC: Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop.PROUDLY MADE IN INDIA: PLAYY BAGS is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.Wide & cushioned shoulder strap for comfortWell padded at the back to provide support Features This casual backpack comes with three spacious zippered compartments which can accommodate your notebooks and other essentials with ease. Store your umbrella, notebooks, Laptop, Tablet, Phone, and water bottle in this spacious bag and move around comfortably all day. Top padded handles are provided for extra comfort. Product description This PLAYYBAGS Has Two Compartments And One Side Pocket And Includes A Customised Notebook Cradle And Workstation Section, Attractive Metal Pulls, And The Playybags bags Fits Most Laptops With A Display Of Up To 15.6"", Providing Full Protection., Padded Cushion At The Back Ensures Enough Air Flow. Adjustable, Padded Shoulder Straps, Comfortable During Use., Durable, Water-Resistant Material Ensures A Long Lifetime., Adequate Space For Laptop, Adapter, Mouse, And Daily Belongings. EXCELLENT SEWING A top-quality bag with perfect sewing for carrying heavy items easily STRONG ZIPPERS Made with strong yet light weight fabric with strong metal zippers. COMPARTMENT These compartments are Made with strong yet lightweight polyester fabric with heavy zippers. ADJUSTABLE STRAP The adjustable strap ensures comfort for carrying it on your shoulder. Perfect for daily uses It is perfect for your daily needs and also can be used as a college bag.It is durable and made of high-quality material Synthetic Fabrics.Useful as a school bag, weekend getaway, or travel accessory, you will always feel good carrying this around.The lightweight design allows you to carry more in the bag without feeling burdened.This bag can be used for carrying laptops, books, and folders.The bag has an adjustable strap that closes with a buckle.",C Type
162,"  Outer material: synthetic, color: tan; Waterproof    Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)    Number of compartments: 2    Laptop compatibility: yes, laptop size: 16strap type: adjustable    Age Range Description: Adult; Special Features: Back Padding; Pocket Description: Utility Pocket; Closure Type: Zipper    Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,2 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .   ",B07G4CYC74,From the manufacturer,Gear Merchandise PVT LTD
163,  Care Instructions: Wipe with Damp Cloth    Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.    USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.    Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.    Dimension: 45 CM (L) x 30 CM (W) x 13 CM (D). Storage Capacity: 18L. Weight: 600 Grams.    Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects   ,B0BYSZ3TKW,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.",  FUR JADEN
164,"  KEY FEATURES - Grey Colour Laptop Backpack for Men and Women for Stylish Office use as well as for Trendy College students. Huge compartment size that can fit upto a 15.6 inch Laptop with ease. Multiple pockets for other accessories.    Charging On the Go - Now charge your phone on the go while travelling without the hassle of holding the bulky power bank in your pocket or in your hand. Simple Connect your Powerbank to the wire inside the Bag and leave it in the bag. When you want to charge your phone, just connect your phone charger to the bag and your phone will start charging. IMPORTANT NOTE: We do NOT provide Free Portable Charger with the Bag    Anti Theft Design - This backpack by Fur Jaden has anti theft design where zipper of the main pocket is hidden at the back. No thief, intruder or robber can find a way to open the backpack, making this totally theft proof. There are secret pockets on the shoulder strap and on the sides of the bag allowing us to keep travel documents, boarding pass, credit cards, mobile phone, earphones etc.    Essence of Fur Jaden - We craft signature Laptop Backpacks and Casual Backpacks that are young, vibrant and fashionable, and yet a celebration of timeless style, luxe and sophistication. We strive to make thoughtful designs that are high on aesthetics as well as on utility and functionality.    WARRANTY- 6 Month Manufacturer Warranty. 100% Genuine Fur Jaden Men products, 10 days No Question asked replacement guarantee from the date of delivery.   ",B07FM9BSKW,"Product Description Fur Jaden is inspired by the generation of young achievers. They aim to craft accessories with thoughtful design, good aesthetics and functionality which could accompany many confident men and women who face their urban adventures with effortless charm, cool confidence, and fearless spirit. Fur Jaden brings to you a stylish gray multi-feature back pack, that distinguishes you from the crowd. Its features include Anti-theft zipper configuration, on the go charging port, water-resistance, lightweight and spacious design. Made to Travel This one backpack can serve you on different missions of your busy and adventurous life style. Anti-Theft The Anti-theft feature is apt to protect your gadgets and belongings from being stolen while you travel. The zipper is enclosed on the back and is hidden from the views of those who try to pickpocket without your awareness. Multiple Compartments The backpack features multiple compartments that you may use for your laptop and other essentials. There is also a zipper enclosed compartment to let you carry maps, documents or other light and slender materials. Water Resistant Use this bag all year round, and keep your laptop and other belongings safe from dust and stains or unexpected showers. This Fur Jaden backpack is made of water-resistant polymer material. Light-Weight Weighing less than a kilogram, the backpack is capable of housing a laptop of up to 15.6 inches. The backpack does not impose much weight on the user. USB Charging Point A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock, you may connect a portable power bank with ease. You can connect a battery pack on the inside of your bag to your device on the outside. Adjustable Straps The straps are adjustable. They are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.",Fur Jaden
165,"  ROOMY ENOUGH BACKPACK FOR MEN: This laptop bag for men is ultra lightweight comes with three main compartments having the capacity of approx 45 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 3 main compartments to store all your essentials and 1 small front pocket to carry small accessories. It also features an Internal Organiser (small pockets inside a office bag for men / office bag for women).    COMFORTABLE TRAVEL : This backpack for men has Honeycomb padded structure which helps you travelling comfortably all day long, provides proper air circulation while in summer also to prevent you feel more relax. The laptop bag for men comes with Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily. CAPACITY : 45L; Weight: 0.7kg ; Dimensions: 56x36x25cm ; Utility: Ideal for Travel, Hiking, Trekking & Camping.    OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Rain Cover, Internal Organiser (Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps), 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc.    QUALITY OF BACKPACK FOR MEN: A major problem in many rucksack/office bag for men is that it get torn between your journey but this laptop bag for men is strong enough to hold even the heaviest of your items without any problem. It is made up of a strong polyester material, is stitched properly, and is bartacked on every pressure point for extra strength.    OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Back Padding, Chest Strap, Earphone Cord Support, Unique Design, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Padded Shoulder Strap, Breathable Mesh etc.   ",B08PSX1LN9,"Product Description Bottom straps To tie the backpack or hang a sleeping bag. Comfortable Back Support Ergonomic padded shoulder straps and back support for best ventilation and comfortable burden Side pockets pocket for easy storage of carry-on items Organiser pockets laptop,diary,wallet,pen etc. When the freedom of travel became a new life dream, we began to pursue good times on the journey Climbing Travel Hiking Camping", AB Amazing Bags
166,"  ROOMY ENOUGH BACKPACK FOR MEN: This laptop bag for men is ultra lightweight comes with three main compartment having the capacity of approx 55 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 4 main compartments to store all your essentials and 1 small front pocket to carry small accessories. It also features an Internal Organiser(small pockets inside a office bag for men / office bag for women).    COMFORT WITH QUALITY: This backpack for men has wide, padded and adjustable shoulder straps and padded back for comfort in carrying heavy items. The College Bags for men is stitched properly and Bartacks on every pressure point for extra durability. The backpack for men is made with strong yet light weight polyester fabric with heavy zippers. The laptop bag for men also comes with a Rain cover so that you can travel during rainy season without any problem.    PROUDLY MADE IN INDIA: Half Moon laptop bag for men is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this college bags for men is Made in India by Indians using Indian materials.    QUALITY OF BACKPACK FOR MEN: A major problem in many rucksack/office bag for men is that it get torn between your journey but this Rucksack is strong enough to hold even the heaviest of your items without any problem. It is made up of a strong polyester material, is stitched properly, and is bartacked on every pressure points for extra strength.    OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Rain Cover, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc.   ",B09WDGZ32L,Product Description Premium Quality Water-Proof Safe Packaging Trekking Holidays Travel,   Half_Moon
167,  ✅ Lightweight yet durable bag for use or everyday outings    ✅ Made Using 100% Sustainable And Eco Freindly Cotton Materials    ✅ We have used high-quality metal and fabric in this bag    ✅ The bags work quite well for casual as well as party wear    ✅ The soft Straps make it convenient for you to hold it the whole day           ,B08VS8JBNK,"Product Description Durable High quality bag that will last you for years and years. Fashion, elegant and used in countless ways, it makes the ultimate gift to ladies of all ages wishing to look stunning on the beach, or in the street in summer! This beautiful sling is a perfect combination of style and functionality. Its spacious enough to carry all your essentials but in style ofcourse..!!! Even when you are not on vacation, our reusable high quality bag is ideal for going to the pool, grocery shopping, school, work, travel, gym, and church. These bags are perfect for custom DIY projects, art & crafts, decorations, and wedding gift bags for your bridesmaid.",SAAV TEX PVT LTD
168,"  Capacity: 35Litres; Quality: best quality as it is perfectly designed and made from high quality lightweight nylon and double dotted waterproof polyester.<br> <br>    This backpack is made to used for boys, girls, men, women and kids. This bag is very good for boys and girls of age because it has enough space to carry all books and accessories and it is very comfortable and stylish.<br> <br>    Two Main Compartment And One Extra Compartment Offers Space For Magazines, Notepad,Other Laptop Accessories, Stationery items || Eco-friendly, Durable, Lightweight, Flexible And Star Water-Resistant Material Helps To Keep The Interior Dry with a high quality material that keep Dust away.<br> <br>    Closure Type: Zipper; Strap Type: Shoulder Strap; Age Range Description: Adult; Compartment Description: Greater Than 17 Inches <br>   ",B084T7X2HX,"From the manufacturer Product Description Backpacks are handy and can store and organize anything you want - books, clothes, food etc. With many zips and pockets to segregate your belongings, they are also stylish and convenient to use. Material Nylon is a thermoplastic synthetic material which can be processed into different fibres and shapes. It is durable, has high tensile strength' and can withstand abrasion which makes it a very popular material used in manufacturing luggage. Unlike other derived fibres, nylon fibers are entirely synthetic, which means that they have no basis in organic material.", B084T7X2HX
169,"  COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g    HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items    CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use    CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.    HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.           ",B0BL3SPN16,"If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily.",   Northzone
170,"  PREMIUM MATERIAL: This multifunctional bag is made of quality Water Repellent polyester material in black color to protect your goods from water. For the inner lining, soft feel premium polyester is used. The hardware such as strengthened hooks, zippers and buckles used are wear resistant, smooth, and durable.    LARGE CAPACITY : Comes with 2 compartments with one separate cushioned laptop sleeve to hold 15. 6 inch Laptop. Additional front zipper pockets with an organiser to store magazine, pens, key,music, cosmetic, pen, charger, powerbank, cable etc. Side pockets for water bottles,umbrella. Back hidden anti theft pocket can hold your wallet,phone,etc    TROLLEY STRAP & CONVENIENCE : The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling. Comfortable airflow back ergonomics design with soft padding, gives you maximum back support. Breathable and adjustable shoulder straps relieve the stress of shoulder. Foam padded top handle for a long time carry on.    ONE YEAR WARRANTY: 1-year warranty on this bag against any manufacturing defects. Just keep your documents safe. Contact Red Lemon for any issues regarding the product and a resolution will be provided.   ",B0C2KRH268,, 1921
171,"  Lavie Odiase hand bag is perfect for the ladies on the go. It is durable, lightweight, and available in multiple trendy colors. Made from premium man-made leather, this hand bag has the latest pebble texture and gold detailing to help you stand out from the crowd.    Dimension: 22 cm in length x 10 cm in width x 12 cm in height    Odiase hand bag has a top zip closure to keep your essentials in place. The bag has 2 main compartments, 2 slip pockets alongside 1 zip pocket in each compartment, providing plenty space for keeping phone, portable charger, keys, hairbrush, wallet, sunglasses, sanitizer etc. It has thin dual shoulder straps and an adjustable sling belt for multipurpose use.    This hand bag is perfect for women to carry to work or a day party. It can be paired with high waist jeans and a statement top as well as with a ruffled dress. This spacious bag makes a great gift for women who love to accessorize.           ",B08SW9RJ75,"From the manufacturer Lavie Odiase Women's Satchel Lavie Samba Women's Satchel (Black) Lavie Yalta Women's Tote Bag Lavie Pamukkale Women's Satchel (Pewter) Lavie Yalta Women's Satchel Lavie Ushawu Women's Satchel (Mint) Detachable & Adjustable Strap ✓ ✓ X ✓ ✓ ✓ Main Strap Twin Shoulder Strap Twin Shoulder Strap Twin Shoulder Strap Round Top Handles Twin Shoulder Strap Twin Shoulder Strap Closure Type Top Zipper Top Zipper Top Zipper Top Zipper Top Zipper Top Zipper Color Red, Pink, Brown Black Tan, Pink, Blue Pewter, Orange, Beige Tan, Pink, Blue Mint, Purple Size Medium Large Large Medium Medium Medium No. of Compartments 2 2 2 2 2 1 No. of Pockets 4 5 5 5 5 5 Dimensions (in cms) 30 X 13 X 25 34 X 12 X 28 28.5 X 14.5 X 31 25 X 9 X 24 35 X 16.5 X 26.5 32 X 12 X 26",Bagzone Lifestyle Pvt Ltd
172,  Meant for 15.6-inch laptops    Multiple compartments for additional accessories    Front big pocket for quick-access your essentials    Elegant and Lightweight Cross-dyed woven fabric    Finished in Stylish warm dark grey and stretch to shoulder strap    Laptop compartment fits up to 15.6 inch laptop with velcro laptop strip    ASUS reflective logo    1 Year hardware warranty provided by the manufacturer from date of purchase   ,B0895ZZHKK,unknown,‎Fabric
173,"  Water Proof with attached Rain cover.    Reflective Printing and in Built Laptop sleeve    3 compartment, 1 pockets and 2 Bottle pouch.    Comes with the F Gear promise of quality.    Size(Hxlxw)Cm-(50x31x21)           ",B0749MPCFT,"From the manufacturer BLOW LAPTOP BACKPACK Well if you are looking for a big bag which is also very Stylish, Durable, Waterproof with a Laptop in built sleeve then your search ends here. Yes you Got it Right!, This F Gear bag has three big compartments to boast of along with a huge horizontal pocket in the front and two bottle holders on both sides of the bag. It has an inbuilt Rain cover neatly tucked away in a concealed pocket along with Reflective Strips and Reflective Printing makes it a natural choice for rainy Season. Support at the base makes it suitable for rough/dirty terrains. Padded Shoulders and Back with Side Compression straps completes the picture. COMPARTMENTS · The 2nd compartment is the middle compartment. You can keep just about anything in it from textbooks, clothes, or other necessities. · The 3rd compartment is the main compartment. It is really huge. It has a separate padded sleeve to keep a 17"" laptop. FEATURES FRONT POCKET The long vertical pocket in the front to keep your mobile, wallet, power bank etc... PREMIUM YKK ZIPPERS Premium and durable YKK zippers and sliders PADDED BOTTOM and BUSHES Bottom bushes are support at the base makes it suitable for rough and dirty terrains. RAIN COVER Elastic material around the edge of the cover, it is able to adjust the size according to different backpacks. Made of waterproof wear-resisting Polyester material, durable, very light almost weightless, portable, useful and scratch-resistant.",F Gear
174,"  LARGE CAPACITY: Our waist pack have 4 zippered pockets and 1 main pocket compartment, all with reinforced double stitches and nylon lining. The pocket can comfortably hold mobile phones, wallet, charging treasure, keys, earphones and so on.    WATERPROOF: Our waist pack is Woven from nylon, consisting of ddouble suture and zippers, ensure the quality and strength of each bag.    ADJUSTABLE: The straps are adjustable and you can adjust them to the most comfortable length according to your body. suitable for waist circumferences of 15 inches to 48.8 inches. All fanny packs are unisex, perfect for men, women and teenagers.    SO VERSATILE: Stylish prints waist bag is an ideal companion for a comfortable all day carry to school/college, malls, morning walks, bike rides, running, hiking, festivals, fares or concerts, travel and outdoor essentials.    BEST GIFT: All our bags are backed friendly customer service support, just purchase and enjoy this superior shoulder bag with confidence, this waist pack an ideal gift for your friends, families, kids.   ",B08SWGFBNT,"Product Description Durable & Water Resistant Fabric Made of high quality water-resistant fabric, durable and light weight is only 4.6 oz. (Note: please do not put it into the water). Strong Buckle & Adjustable Strap Solid buckle to ensure long service life Quick-released buckle makes it easy to take on/off.Use this fanny pack to be hands free, keep your valuables (phone, wallet, power bank, keys etc) safe in the secure zipper pocket. Smooth Solid Zippers Fanny pack constructed with durable zippers.It is easy to open and slide smoothly Leisure Great for dog walking, shopping and jogging. Travel Versatile Sports Convenient for kinds of sports like boating, running, cycling, hiking and other outdoor activities.", 1
175,  Material: Water Resistant Strong Polyester    Compartments: 2 with padding    Laptop Size: 15.6 inch and below    Dimensions: LxWxH - 11 x 6 x 18 inches    Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders / Padded Top Handle / Rain Cover   ,B0BVRJYD9Q,"High Quality large and spacious laptop backpack with 2 compartments and 2 front easy-access pockets. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort. It comes with a full sized rain cover.",   ADISA
176,"  Care Instructions: Wipe with Damp Cloth    Style: Stay organized all day with this durable and lightweight backpack from Fur Jaden. This 35L large sized weekender back pack is a stylish and functional accessory for men & women. Suitable for working professionals, college and school.    USB Charing Port: This uber cool travel weekended laptop backpack comes with an inbuilt charging system which helps you charge your devices on the go. All you need to do is connect your power bank to the wire given inside the bag and while on the go, connect your phone charging cable to the USB socket on the bag. This helps free your hands/ pockets of bulky power banks.    Ergonomic Design: This large sized backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.    Dimension: 50 CM (L) x 30 CM (W) x 22 CM (D). Storage Capacity: 35L. Weight: 700 Grams    Warranty: 1 Year Manufacturer Warranty   ",B0BZ4XH8H5,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. It adds admiration to an appealing and daring personality with remarkable aesthetics and functionality. This backpack features a USB Charging Port which helps you stay connected with your loved one at all times by ensuring you have easy and quick access to power supply at all time while on the go. It comes with organizer pockets in the front compartment which helps keep your belongings organized. Fur Jaden functional back pack is apt to protect your gadgets and belongings thanks to the padded laptop compartment. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. Weighing about 700grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has several inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.",  FUR JADEN
177,"  Gift your shoulders and back the comfort of the AmazonBasics - Casual Backpack/Office Bag    It has 2 large compartments and 2 side pockets    Well-padded interior that keeps your laptop safe    Enough space for your other daily essentials like chargers, wallet, power bank, etc.    Compact and sleek design    Well-cushioned shoulder straps    Dimensions: LxWXH: 47 X 33 X 15 cm    Weight: 0.460 grams   ",B09W4VMZ79,"From the manufacturer Stylish & Durable Spacious Backpack Ideal for everyday use; the AmazonBasics Laptop Bag is designed to carry your laptop, charging accessories and stationary. Two two zippered compartments come handy in efficient organizing of your backpack contents. DURABLE SPACIOUS LAPTOP BACKPACK AmazonBasics Laptop Bag is designed to carry your laptop, charging accessories and stationary. Two two zippered compartments come handy in efficient organizing of your backpack contents. STORE IT ALL Organise and carry your essentials using its two large compartments, two easy-access front pockets. MULTIPURPOSE The laptop bagpack is perfect for daily use. 2 side pockets allow you to carry extra stuff. Good Looking & Comfortable The intelligent and ergonomic design of this laptop back is convenient, comfortable and stylish.",limited
178,"  MADE IN INDIA : We Made this Elegant Laptop Bag in Our own Factory located in Mumbai. We offer 1 Year Manufacturer Warranty FREE NO-TOUCH DOOR OPENER: This Door Opener Keychain can be used to avoid touching surfaces contactless. Use it on door handles, ATM keypads, elevators, retail checkout payment pads etc<br>; Closure Type: Zipper Snap; Pattern Name: Solid; Age Range Description: Adult<br>; Pattern Name: Solid; Age Range Description: Adult; Closure Type: Zipper Snap<br><br> <br>    Water Resistance Level: Water Resistant; Warranty Description: Cosmus Branded Backpack Comes With One Year Manufacturer Warranty.; Compartment Description: Up To 15 Inches; Strap Type: Adjustable Handle; Style Name: Casual Backpack<br><br> <br>    Special Features: Usb Port; Lining Description: Polyester; Material Type: Polyester <br>   ",B08D7D21FV,"Product Description Key Features USB CHARGING PORT With built in USB charging port gives convenience to charge your phone while on move. Please note: power bank not included, USB charging port only offers an easy access to charge with your own power bank. SPACIOUS One spacious packing compartment for daily necessities which includes One padded laptop sleeve to hold 15.6 Inch Laptop along with many small organizer pockets. Water Bottle The two sided pocket comes with ample space and water bottle compartment Key Features Adjustable Straps Comfortable airflow back design with thick ventilated padding, gives you maximum back support. Breathable and adjustable shoulder straps relieve the stress of shoulder. Elegant top handle for a long time carry on. Feather Light Business Laptop Backpack which is also good for travel accessories to go with Carry On Luggage for Men Women Boys Girls of all age groups. WATER RESISTANCE Stylish and Durable Spacious Laptop Backpack for Travel Cosmus Vogue 15.6 inch laptop backpack is made of High grade water resistance PU coated polyester material that gives it strength and makes it durable for long-term use. Cosmus Vogue Grey Laptop Backpack COSMUS Vogue 15.6 inches Business Laptop Backpack is the sleek and lightweight solution for your Laptop Bags needs that\'s perfectly suited to your daily life dimensions: 18.5 x 13 x 6.5 inches : 47cm x 33cm x 17cm : Capacity 26 Litres Other Features Laptop compartment Separate Portable Zippered Pouch Two Front Zipper Pocket Stylish Modern Design MADE IN INDIA",‎India
179,"  Outer Material: Polyester, Color: Blue    Capacity: 20 liters; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)    Number of compartments: 1; Laptop Compatibility: No, Strap Type: Adjustable    Special Features: Laptop Compartment; Closure Type: Zipper; Pocket Description: Utility Pocket; Style Name: Traditional Backpacks; Age Range Description: Adult   ",B0757K36YV,"One wide access main compartment, one additional front pocket and one bottle pocket. Easily Adjustable padded shoulder straps with anti-sweat fabric underneath.",Gear Merchandise PVT LTD
180,  Lightweight yet durable backpack/daypack for school use or everyday outings    Front storage pocket keeps smaller items neatly organized and easy to access    Mesh pockets on both sides to accommodate your water bottle and umbrella    Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects    Lining Description: Polyester; Closure Type: Zipper; Age Range Description: Adult   ,B09B26MB5M,From the manufacturer,  Safari Industries
